Chářovice	-736100.654293	-1074205.76678
Svinařov	-767726.564919	-1029382.92156
Šlapanice	-761194.323026	-1014466.44748
Bukovany	-732350.673764	-1073915.4452
Třebichovice	-765132.4245	-1028101.82233
Třebíz	-770329.420663	-1018660.25005
Třebusice	-757767.717025	-1028278.03914
Tuchlovice	-771688.714018	-1032839.97033
Úhonice	-760461.630506	-1045587.75189
Uhy	-750342.977994	-1020191.6008
Unhošť	-763867.314754	-1041065.72822
Velká Dobrá	-766713.321741	-1036570.16956
Velké Přítočno	-762880.395978	-1036729.54587
Velvary	-753901.205943	-1020733.89928
Vinařice	-764969.647191	-1029814.79768
Vraný	-766956.471811	-1012370.98623
Kladruby	-711203.934128	-1087806.43295
Zákolany	-753086.973123	-1029853.67947
Trubín	-775280.792728	-1054725.326
Zlonice	-762484.578603	-1017484.83476
Zvoleněves	-757178.970413	-1025041.17995
Žilina	-772749.20465	-1037046.91928
Žižice	-759061.567052	-1022850.97979
Kolín	-688128.099924	-1056891.20231
Barchovice	-708314.496667	-1064666.46646
Bečváry	-698102.485211	-1065180.93946
Bělušice	-679333.089482	-1053887.60961
Králův Dvůr	-773315.197571	-1055380.93864
Břežany I	-696241.563188	-1055229.38019
Břežany II	-716415.837611	-1045623.8409
Býchory	-682271.45645	-1052996.35699
Cerhenice	-696860.054596	-1051016.48861
Černé Voděrady	-717602.100797	-1061933.50711
Červené Pečky	-689219.699122	-1062741.89762
Český Brod	-711993.001087	-1048077.70277
Dobřichov	-698891.57286	-1049852.5841
Dolní Chvatliny	-698475.569208	-1060986.61115
Doubravčice	-716853.729895	-1053941.24893
Malá Víska	-786969.87442	-1074840.6779
Horní Kruty	-707048.496726	-1067436.16706
Lhotka	-777224.64954	-1066829.83304
Chotutice	-702872.698235	-1049884.27454
Chrášťany	-706632.449224	-1050580.90749
Jestřabí Lhota	-683264.616729	-1050211.91152
Jevany	-715876.599049	-1059658.29309
Klučov	-707222.705098	-1047923.81643
Konárovice	-682514.362033	-1056210.3034
Kořenice	-694893.763328	-1062788.29105
Kostelec nad Černými lesy	-712981.264122	-1057098.68583
Kouřim	-705061.108454	-1057782.12481
Kozojedy	-716186.17403	-1056255.54584
Krakovany	-676566.614277	-1053766.32059
Krupá	-711119.198168	-1054162.17183
Křečhoř	-693380.217034	-1056458.75789
Libenice	-684903.853765	-1061583.31559
Libodřice	-696599.712379	-1057822.22819
Lošany	-694214.429031	-1059726.7057
Malotice	-706491.839565	-1062679.60161
Nebovidy	-686834.04473	-1060562.01545
Nová Ves I	-691294.234563	-1053564.42325
Nučice	-711732.523748	-1061734.88699
Ohaře	-680686.008138	-1050033.39708
Oleška	-709541.656864	-1060417.93158
Ovčáry	-684956.703048	-1053036.97801
Plaňany	-699088.47761	-1054258.4605
Polepy	-688341.053175	-1059696.51292
Nenačovice	-763544.244249	-1047410.11162
Přišimasy	-718839.922404	-1049865.03433
Radim	-701172.905946	-1050463.95971
Radovesnice I	-692496.135799	-1058346.35101
Radovesnice II	-676060.950358	-1049880.14059
Ratboř	-692432.469088	-1062761.80223
Rostoklaty	-715557.31278	-1048187.46207
Chrustenice	-763074.886541	-1049133.01945
Skvrňov	-704451.588893	-1069323.3673
